time,open,high,low,close,volume
1506470400,3882.04,4246.8,3873.01,4192.63,2695630.95
1506556800,4192.63,4294.75,4101.51,4175.2,3657072.44
1506643200,4175.2,4263.04,3954.85,4174.73,6535681.88
1506729600,4174.73,4379.53,4138.71,4377.88,3134324.81
1506816000,4377.88,4406.18,4241.43,4378.95,3251045.65
1506902400,4378.95,4558.64,4359.8,4380.07,2922861.68
1506988800,4380.07,4465.57,4181.74,4309.71,4686904.86
1507075200,4309.71,4372.46,4143.59,4208.27,3759817.91
1507161600,4208.27,4354.29,4110.58,4293.14,3322732.75
1507248000,4293.14,4417.04,4292.52,4368.4,2272268.3
1507334400,4368.4,4476.87,4313.56,4423.86,1344107.22
1507420800,4423.86,4654.84,4423.86,4638.32,2414646.24
1507507200,4638.32,4886.92,4551.13,4787.26,3126781.53
1507593600,4787.26,4958.87,4681.56,4782.85,5131017.62
1507680000,4782.85,4881.26,4711.16,4821.13,3652256
1507766400,4821.13,5438.89,4810.39,5429.14,6735019.99
1507852800,5429.14,5844.08,5379.85,5649.43,10730709.38
1507939200,5649.43,5897.91,5580.63,5869.12,5655968.07
1508025600,5869.12,5920.84,5401.54,5699.83,7076408.67
1508112000,5709.77,5788.76,5585.42,5764.76,7668420.75
1508198400,5759.82,5774.99,5509.06,5595.01,7365861.7
1508284800,5595.01,5596.04,5039.32,5550.26,11243693.25
1508371200,5512.84,5709.69,5490.53,5664.96,10811743.63
1508457600,5684.31,6108.35,5600.13,6009.89,11695422.54
1508544000,6009.88,6170.74,5850.86,6023.95,10221104.53
1508630400,6024.13,6059.85,5720.28,5950.48,8155519.14
1508716800,5950.51,6079.51,5622.87,5914.35,10827268.63
1508803200,5914.56,5922.66,5450.58,5478.04,14677180.79
1508889600,5478.04,5705.05,5287.76,5690.13,12604545.24
1508976000,5690.13,5939.44,5650.23,5879.22,11521129.1
1509062400,5862.12,5979.91,5650.85,5748.65,8268317.03
1509148800,5768.77,5850.01,5630.82,5704.35,7380377.39
1509235200,5719.94,6189.81,5648.81,6169.57,10729847.43
1509321600,6169.57,6248.22,6030.25,6120.49,9114408.68
1509408000,6120.52,6496.92,6100.13,6462.23,9585107.13
1509494400,6462.17,6773.91,6338.54,6738.45,11006670.67
1509580800,6753.19,7299.76,6686.94,7020.09,17358851.58
1509667200,7020.11,7345.67,6923.4,7115.68,13627180.01
1509753600,7115.61,7479.68,6902.89,7357.39,10170448.4
1509840000,7357.39,7589.89,7280.06,7345.8,9075373.36
1509926400,7345.8,7401.1,6906.5,6960.06,12795925.9
1510012800,6960.08,7198.1,6902.93,7063.44,10267254.05
1510099200,7063.4,7768.03,6658.35,7304.13,20441142.29
1510185600,7304.19,7390.98,7016.28,7080.19,13900908.56
1510272000,7080.19,7278.91,6258.88,6496.8,22108781.95
1510358400,6508.65,6797.27,6100.8,6246.5,17547392.3
1510444800,6245.45,6625.51,5329.37,5849.6,29590445.97
1510531200,5810.93,6695.66,5705.11,6471.84,16347600.29
1510617600,6465.89,6683.99,6311.69,6574.69,8282930.08
1510704000,6574.66,7296.31,6574.66,7248.57,12610261.4
1510790400,7238.76,7937.51,7077.56,7862.92,17580214.78
1510876800,7862.68,7987.39,7452.79,7700.25,30810569.11
1510963200,7700.25,7820.03,7422.68,7762,30334340.33
1511049600,7762,8122.86,7650.29,8053.41,30519556.55
1511136000,8037.48,8319.49,7954.18,8212.84,31744413.46
1511222400,8212.46,8399.23,7802.72,8119.68,36818922.85
1511308800,8119.68,8322.29,8091.39,8206.09,29390807.74
1511395200,8206.18,8260.16,8000.79,8000.8,33385654.07
1511481600,8020.66,8368.04,7851.47,8139.81,33101339.41
1511568000,8139.81,8734.47,8091.09,8700.02,35915449.02
1511654400,8700.08,9349.98,8606.3,9129.05,37236340.57
1511740800,9129.1,9655.48,9113.27,9641.71,43174708.49
1511827200,9649.98,9938.57,9571.56,9896.69,48242187.87
1511913600,9896.69,11300.07,8529.4,9641.29,134475018.98
1512000000,9641.29,10895.75,8851.93,9801.08,89869729.08
1512086400,9839.8,10897.49,9380.94,10774.86,103602165.38
1512172800,10774.86,11187.89,10621.66,10890.4,157513957.38
1512259200,10890.4,11824.03,10504.28,11169.13,130091306.6
1512345600,11169.13,11598.98,10803.3,11578.32,110956864.51
1512432000,11578.32,11852.44,11447.97,11699.44,153175206.44
1512518400,11699.42,13614.22,11665.31,13568.2,252405399.48
1512604800,13568.2,16645.53,13054.33,16594.99,370552919.46
1512691200,16594.99,17200.06,14015.95,15879.91,514256440.87
1512777600,15880.52,16267.98,12538.26,14655.87,394179565.48
1512864000,14656.26,15715.77,12370.99,14901.63,473437025.58
1512950400,14901.63,17468.88,14901.63,16567.85,394879763.28
1513036800,16567.85,16975.67,15876.9,16349.27,314649465.86
1513123200,16349.27,16543.76,14673.57,16018.67,348249149.74
1513209600,16018.67,16448.15,15455.21,16298.99,292008530.31
1513296000,16334.69,17989.8,16298.41,17516.81,291413792.03
1513382400,17539.82,19535.16,17191.89,19105.33,192656763.56
1513468800,19105.33,19798.26,18515.07,18898.62,354821156.8
1513555200,18898.62,19297.78,17039.97,18854.95,373178600.61
1513641600,18856.17,18949.85,16317.31,17281.25,442811196.49
1513728000,17296.3,17719.24,14796.24,16468.16,441374541.87
1513814400,16489.7,17309.35,14030.93,15456.32,515182505.81
1513900800,15492.47,15699.07,10962.31,13337.46,786781763.64
1513987200,13337.46,14949.95,12983.51,13312.27,416929495.73
1514073600,13312.27,13820.56,11644.41,13500.06,592678377.86
1514160000,13500.06,14299.05,12710.82,13699.38,370908716.25
1514246400,13699.38,16049.3,13533.35,15697.34,406601212.77
1514332800,15697.34,16496.6,14205.71,15447.91,421241579.47
1514419200,15460.84,15540.05,13152.96,14180.08,494812970.03
1514505600,14180.08,14980.8,13850.96,14379.06,403723075.34
1514592000,14379.06,14397.52,11751.3,12340.25,447454363.42
1514678400,12340.25,14049.63,12150.34,13740.81,313887395.28
1514764800,13716.21,13817.41,12750.96,13400.89,262759878.54
1514851200,13379.7,15467.61,12893.23,14680.72,461294889.14
1514937600,14676.91,15307.26,14153.14,14913.26,427661581.57
1515024000,14913.26,15279.71,13921.46,15079.74,423258821.37
1515110400,15079.81,17172.92,14601.21,16980.57,603535142.47
1515196800,16980.57,17136.93,16012.75,17085.79,441934425.15
1515283200,17065.58,17096.91,15613.65,16150.91,336583348.61
1515369600,16218.66,16320.63,12833.68,14903.5,547647681.27
1515456000,14903.5,15498.5,14014.85,14390.57,347998867.64
1515542400,14390.57,14952.57,13136.69,14880.17,402004279.49
1515628800,14880.17,14966.01,11415.78,13224.4,630528396.61
1515715200,13224.4,14107.78,12503.46,13736.91,376392305.57
1515801600,13736.91,14576.06,13707.48,14209.34,317868151.11
1515888000,14209.06,14337.78,12573.98,13476.21,380507990.3
1515974400,13479.07,14246.44,13150.62,13471.49,342457726.72
1516060800,13471.77,13542.64,9036.24,10902.12,912557825.64
1516147200,10902.12,11679.15,9033.42,11000.06,905925080.29
1516233600,11000.06,11877.52,10436.42,10961.47,790243672.87
